assay,scheme,spearman,n
A0A140D2T1_ZIKV_Sourisseau_2019,fold_random_5,0.5639008919399028,9576
A0A140D2T1_ZIKV_Sourisseau_2019,fold_modulo_5,0.35836235422356305,9576
A0A140D2T1_ZIKV_Sourisseau_2019,fold_contiguous_5,0.24541448690197293,9576
A0A1I9GEU1_NEIME_Kennouche_2019,fold_random_5,0.054989676520777575,922
A0A1I9GEU1_NEIME_Kennouche_2019,fold_modulo_5,0.022510374616093388,922
A0A1I9GEU1_NEIME_Kennouche_2019,fold_contiguous_5,0.06484620067681408,922
A0A2Z5U3Z0_9INFA_Doud_2016,fold_random_5,0.7431535123127576,10715
A0A2Z5U3Z0_9INFA_Doud_2016,fold_modulo_5,0.4875643900052343,10715
A0A2Z5U3Z0_9INFA_Doud_2016,fold_contiguous_5,0.33134525030147255,10715
A4D664_9INFA_Soh_2019,fold_random_5,0.7038476661140092,14421
A4D664_9INFA_Soh_2019,fold_modulo_5,0.4089960895854322,14421
A4D664_9INFA_Soh_2019,fold_contiguous_5,0.19382775794382714,14421
A4_HUMAN_Seuma_2022,fold_random_5,0.7600167888049277,796
A4_HUMAN_Seuma_2022,fold_modulo_5,0.6673359458570275,796
A4_HUMAN_Seuma_2022,fold_contiguous_5,0.6364493001639979,796
ACE2_HUMAN_Chan_2020,fold_random_5,0.7273270551936923,2223
ACE2_HUMAN_Chan_2020,fold_modulo_5,0.36314794938873074,2223
ACE2_HUMAN_Chan_2020,fold_contiguous_5,0.253749873178858,2223
AICDA_HUMAN_Gajula_2014_3cycles,fold_random_5,0.49913027238600327,209
AICDA_HUMAN_Gajula_2014_3cycles,fold_modulo_5,0.1710390063215155,209
AICDA_HUMAN_Gajula_2014_3cycles,fold_contiguous_5,0.42202125284514314,209
AMIE_PSEAE_Wrenbeck_2017,fold_random_5,0.820976792118726,6227
AMIE_PSEAE_Wrenbeck_2017,fold_modulo_5,0.6425134058185372,6227
AMIE_PSEAE_Wrenbeck_2017,fold_contiguous_5,0.6027787309105194,6227
ARGR_ECOLI_Tsuboyama_2023_1AOY,fold_random_5,0.9131422954414106,1287
ARGR_ECOLI_Tsuboyama_2023_1AOY,fold_modulo_5,0.8356250482016956,1287
ARGR_ECOLI_Tsuboyama_2023_1AOY,fold_contiguous_5,0.7997937639420606,1287
BBC1_YEAST_Tsuboyama_2023_1TG0,fold_random_5,0.9214063345683027,1084
BBC1_YEAST_Tsuboyama_2023_1TG0,fold_modulo_5,0.7944707223885068,1084
BBC1_YEAST_Tsuboyama_2023_1TG0,fold_contiguous_5,0.7846822216568041,1084
BLAT_ECOLX_Deng_2012,fold_random_5,0.8234106869555362,4996
BLAT_ECOLX_Deng_2012,fold_modulo_5,0.5801603852977438,4996
BLAT_ECOLX_Deng_2012,fold_contiguous_5,0.5368055003189954,4996
BLAT_ECOLX_Jacquier_2013,fold_random_5,0.7809557503834846,989
BLAT_ECOLX_Jacquier_2013,fold_modulo_5,0.7577892735379583,989
BLAT_ECOLX_Jacquier_2013,fold_contiguous_5,0.7354182813767349,989
BRCA1_HUMAN_Findlay_2018,fold_random_5,0.6331354115536713,1837
BRCA1_HUMAN_Findlay_2018,fold_modulo_5,0.5807331963023504,1837
BRCA1_HUMAN_Findlay_2018,fold_contiguous_5,0.5634522124217051,1837
C6KNH7_9INFA_Lee_2018,fold_random_5,0.7404106766696545,10754
C6KNH7_9INFA_Lee_2018,fold_modulo_5,0.4831982349230433,10754
C6KNH7_9INFA_Lee_2018,fold_contiguous_5,0.3283384115049479,10754
CAPSD_AAV2S_Sinai_2021,fold_random_5,0.7949220205034886,532
CAPSD_AAV2S_Sinai_2021,fold_modulo_5,0.5601649320012941,532
CAPSD_AAV2S_Sinai_2021,fold_contiguous_5,0.49723313150656434,532
CAR11_HUMAN_Meitlis_2020_lof,fold_random_5,0.7960355678628158,2395
CAR11_HUMAN_Meitlis_2020_lof,fold_modulo_5,0.6777476112773456,2395
CAR11_HUMAN_Meitlis_2020_lof,fold_contiguous_5,0.5485311013544145,2395
CASP3_HUMAN_Roychowdhury_2020,fold_random_5,0.7120976955888534,1567
CASP3_HUMAN_Roychowdhury_2020,fold_modulo_5,0.6674959940278842,1567
CASP3_HUMAN_Roychowdhury_2020,fold_contiguous_5,0.6367302854783815,1567
CATR_CHLRE_Tsuboyama_2023_2AMI,fold_random_5,0.9199324539035965,1340
CATR_CHLRE_Tsuboyama_2023_2AMI,fold_modulo_5,0.8392341643382021,1340
