assay,scheme,spearman,n
CP2C9_HUMAN_Amorosi_2021_activity,fold_modulo_5,0.7702552311747719,6142
CP2C9_HUMAN_Amorosi_2021_activity,fold_contiguous_5,0.7201490775073821,6142
CUE1_YEAST_Tsuboyama_2023_2MYX,fold_random_5,0.9339737743739974,955
CUE1_YEAST_Tsuboyama_2023_2MYX,fold_modulo_5,0.8190145936331553,955
CUE1_YEAST_Tsuboyama_2023_2MYX,fold_contiguous_5,0.7470114410981036,955
DLG4_HUMAN_Faure_2021,fold_random_5,0.8217040754982218,1280
DLG4_HUMAN_Faure_2021,fold_modulo_5,0.7115132541771607,1280
DLG4_HUMAN_Faure_2021,fold_contiguous_5,0.7227281761023602,1280
DN7A_SACS2_Tsuboyama_2023_1JIC,fold_random_5,0.921677321051396,1008
DN7A_SACS2_Tsuboyama_2023_1JIC,fold_modulo_5,0.7302151174010496,1008
DN7A_SACS2_Tsuboyama_2023_1JIC,fold_contiguous_5,0.668518921850212,1008
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,fold_random_5,0.9086112278558887,1213
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,fold_modulo_5,0.7978902000011528,1213
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,fold_contiguous_5,0.7931221431865193,1213
DYR_ECOLI_Thompson_2019,fold_random_5,0.7701630954601842,2363
DYR_ECOLI_Thompson_2019,fold_modulo_5,0.5546282880619671,2363
DYR_ECOLI_Thompson_2019,fold_contiguous_5,0.4752853708903546,2363
ENV_HV1B9_DuenasDecamp_2016,fold_random_5,0.6178281428573078,375
ENV_HV1B9_DuenasDecamp_2016,fold_modulo_5,0.39124265111649437,375
ENV_HV1B9_DuenasDecamp_2016,fold_contiguous_5,0.38223378698144767,375
EPHB2_HUMAN_Tsuboyama_2023_1F0M,fold_random_5,0.9414024971802817,1239
EPHB2_HUMAN_Tsuboyama_2023_1F0M,fold_modulo_5,0.8550263882968412,1239
EPHB2_HUMAN_Tsuboyama_2023_1F0M,fold_contiguous_5,0.8137432094512399,1239
ESTA_BACSU_Nutschel_2020,fold_random_5,0.7188011613771049,2172
ESTA_BACSU_Nutschel_2020,fold_modulo_5,0.5041155738828347,2172
ESTA_BACSU_Nutschel_2020,fold_contiguous_5,0.4556833355490996,2172
F7YBW8_MESOW_Ding_2023,fold_random_5,0.6688232536333802,80
F7YBW8_MESOW_Ding_2023,fold_modulo_5,0.18319268635724334,80
F7YBW8_MESOW_Ding_2023,fold_contiguous_5,0.1559774964838256,80
FKBP3_HUMAN_Tsuboyama_2023_2KFV,fold_random_5,0.8423654763776612,1237
FKBP3_HUMAN_Tsuboyama_2023_2KFV,fold_modulo_5,0.5287939479043776,1237
FKBP3_HUMAN_Tsuboyama_2023_2KFV,fold_contiguous_5,0.48166016904444786,1237
GCN4_YEAST_Staller_2018,fold_random_5,0.28709893048128343,33
GCN4_YEAST_Staller_2018,fold_modulo_5,0.47025401069518724,33
GCN4_YEAST_Staller_2018,fold_contiguous_5,0.3285427807486631,33
GFP_AEQVI_Sarkisyan_2016,fold_random_5,0.4433741948136799,1084
GFP_AEQVI_Sarkisyan_2016,fold_modulo_5,0.3481000461700943,1084
GFP_AEQVI_Sarkisyan_2016,fold_contiguous_5,0.25513800209217186,1084
GRB2_HUMAN_Faure_2021,fold_random_5,0.9001397620386766,1034
GRB2_HUMAN_Faure_2021,fold_modulo_5,0.8166138990769667,1034
GRB2_HUMAN_Faure_2021,fold_contiguous_5,0.7993954508972827,1034
HECD1_HUMAN_Tsuboyama_2023_3DKM,fold_random_5,0.9359203146302711,1244
HECD1_HUMAN_Tsuboyama_2023_3DKM,fold_modulo_5,0.8244471919075932,1244
HECD1_HUMAN_Tsuboyama_2023_3DKM,fold_contiguous_5,0.8090598317561458,1244
HIS7_YEAST_Pokusaeva_2019,fold_random_5,0.005118675446240064,168
HIS7_YEAST_Pokusaeva_2019,fold_modulo_5,-0.017342755745542664,168
