assay,scheme,spearman
MSH2_HUMAN_Jia_2020,fold_modulo_5,0.5609541055084288
MSH2_HUMAN_Jia_2020,fold_contiguous_5,0.3715890981025276
RL40A_YEAST_Roscoe_2014,fold_random_5,0.7577167481138692
RL40A_YEAST_Roscoe_2014,fold_modulo_5,0.6006903787083165
RL40A_YEAST_Roscoe_2014,fold_contiguous_5,0.604556297653828
A0A247D711_LISMN_Stadelmann_2021,fold_random_5,0.6766012058176222
A0A247D711_LISMN_Stadelmann_2021,fold_modulo_5,0.5357649583678162
A0A247D711_LISMN_Stadelmann_2021,fold_contiguous_5,0.5527461251673249
TPMT_HUMAN_Matreyek_2018,fold_random_5,0.6266804661307765
TPMT_HUMAN_Matreyek_2018,fold_modulo_5,0.6144965327858251
TPMT_HUMAN_Matreyek_2018,fold_contiguous_5,0.6273483735665627
P53_HUMAN_Giacomelli_2018_Null_Etoposide,fold_random_5,0.7657545852532526
P53_HUMAN_Giacomelli_2018_Null_Etoposide,fold_modulo_5,0.706171595635153
P53_HUMAN_Giacomelli_2018_Null_Etoposide,fold_contiguous_5,0.5637088235534773
RL40A_YEAST_Mavor_2016,fold_random_5,0.7366604743132932
RL40A_YEAST_Mavor_2016,fold_modulo_5,0.6086742877000041
RL40A_YEAST_Mavor_2016,fold_contiguous_5,0.6202487809393169
SOX30_HUMAN_Tsuboyama_2023_7JJK,fold_random_5,0.9073528011972514
SOX30_HUMAN_Tsuboyama_2023_7JJK,fold_modulo_5,0.724399411088027
SOX30_HUMAN_Tsuboyama_2023_7JJK,fold_contiguous_5,0.6653456087095566
PA_I34A1_Wu_2015,fold_random_5,0.5392654967918094
PA_I34A1_Wu_2015,fold_modulo_5,0.4571572207572581
PA_I34A1_Wu_2015,fold_contiguous_5,0.2263567359028429
SQSTM_MOUSE_Tsuboyama_2023_2RRU,fold_random_5,0.9299263977663639
SQSTM_MOUSE_Tsuboyama_2023_2RRU,fold_modulo_5,0.8644041310482008
SQSTM_MOUSE_Tsuboyama_2023_2RRU,fold_contiguous_5,0.8220803848556666
CAR11_HUMAN_Meitlis_2020_gof,fold_random_5,0.6366014716955813
CAR11_HUMAN_Meitlis_2020_gof,fold_modulo_5,0.5554847781792046
CAR11_HUMAN_Meitlis_2020_gof,fold_contiguous_5,0.5341554255426311
AMFR_HUMAN_Tsuboyama_2023_4G3O,fold_random_5,0.9396365159057888
AMFR_HUMAN_Tsuboyama_2023_4G3O,fold_modulo_5,0.8677514102308375
AMFR_HUMAN_Tsuboyama_2023_4G3O,fold_contiguous_5,0.8284603229376112
TCRG1_MOUSE_Tsuboyama_2023_1E0L,fold_random_5,0.9196478706330201
TCRG1_MOUSE_Tsuboyama_2023_1E0L,fold_modulo_5,0.8658266050738417
TCRG1_MOUSE_Tsuboyama_2023_1E0L,fold_contiguous_5,0.8399480479654376
CALM1_HUMAN_Weile_2017,fold_random_5,0.2436711380887867
CALM1_HUMAN_Weile_2017,fold_modulo_5,0.1934357502459242
CALM1_HUMAN_Weile_2017,fold_contiguous_5,0.1904415324612603
Q53Z42_HUMAN_McShan_2019_expression,fold_random_5,0.781598759122246
Q53Z42_HUMAN_McShan_2019_expression,fold_modulo_5,0.6577097585109354
Q53Z42_HUMAN_McShan_2019_expression,fold_contiguous_5,0.6325621523869108
VG08_BPP22_Tsuboyama_2023_2GP8,fold_random_5,0.9087809430780023
VG08_BPP22_Tsuboyama_2023_2GP8,fold_modulo_5,0.8436363308455017
VG08_BPP22_Tsuboyama_2023_2GP8,fold_contiguous_5,0.8525358919796503
ADRB2_HUMAN_Jones_2020,fold_random_5,0.614999491689796
ADRB2_HUMAN_Jones_2020,fold_modulo_5,0.5867827757889266
ADRB2_HUMAN_Jones_2020,fold_contiguous_5,0.5738735816521982
KCNH2_HUMAN_Kozek_2020,fold_random_5,0.6999489987249682
KCNH2_HUMAN_Kozek_2020,fold_modulo_5,0.4685847146178655
KCNH2_HUMAN_Kozek_2020,fold_contiguous_5,0.5088247206180155
YAP1_HUMAN_Araya_2012,fold_random_5,0.8036477672568614
YAP1_HUMAN_Araya_2012,fold_modulo_5,0.6957768027136974
YAP1_HUMAN_Araya_2012,fold_contiguous_5,0.6471292814643989
PTEN_HUMAN_Matreyek_2021,fold_random_5,0.7080195820232129
PTEN_HUMAN_Matreyek_2021,fold_modulo_5,0.6641471291816408
PTEN_HUMAN_Matreyek_2021,fold_contiguous_5,0.5945345938333954
DYR_ECOLI_Thompson_2019,fold_random_5,0.7515356477568664
DYR_ECOLI_Thompson_2019,fold_modulo_5,0.5473089000082648
DYR_ECOLI_Thompson_2019,fold_contiguous_5,0.49230895093538307
MTHR_HUMAN_Weile_2021,fold_random_5,0.6981929585170715
MTHR_HUMAN_Weile_2021,fold_modulo_5,0.6313520060493867
MTHR_HUMAN_Weile_2021,fold_contiguous_5,0.5844370996499683
A4_HUMAN_Seuma_2022,fold_random_5,0.7489807171317394
A4_HUMAN_Seuma_2022,fold_modulo_5,0.6560830477521957
A4_HUMAN_Seuma_2022,fold_contiguous_5,0.6479398721787721
A0A2Z5U3Z0_9INFA_Wu_2014,fold_random_5,0.553896543625567
A0A2Z5U3Z0_9INFA_Wu_2014,fold_modulo_5,0.49524571093024033
A0A2Z5U3Z0_9INFA_Wu_2014,fold_contiguous_5,0.45098431879647094
SAV1_MOUSE_Tsuboyama_2023_2YSB,fold_random_5,0.9081491751887325
SAV1_MOUSE_Tsuboyama_2023_2YSB,fold_modulo_5,0.7237567264840431
SAV1_MOUSE_Tsuboyama_2023_2YSB,fold_contiguous_5,0.6882241775462125
KKA2_KLEPN_Melnikov_2014,fold_random_5,0.807952805453239
KKA2_KLEPN_Melnikov_2014,fold_modulo_5,0.7412709973716896
KKA2_KLEPN_Melnikov_2014,fold_contiguous_5,0.74065486883561
HMDH_HUMAN_Jiang_2019,fold_random_5,0.7324596005737396
HMDH_HUMAN_Jiang_2019,fold_modulo_5,0.6599678546500369
HMDH_HUMAN_Jiang_2019,fold_contiguous_5,0.6285077804922057
Q837P5_ENTFA_Meier_2023,fold_random_5,0.8081402181103303
Q837P5_ENTFA_Meier_2023,fold_modulo_5,0.6219579757000216
Q837P5_ENTFA_Meier_2023,fold_contiguous_5,0.5960642040571283
PIN1_HUMAN_Tsuboyama_2023_1I6C,fold_random_5,0.9230421434411996
PIN1_HUMAN_Tsuboyama_2023_1I6C,fold_modulo_5,0.8212061977119282
PIN1_HUMAN_Tsuboyama_2023_1I6C,fold_contiguous_5,0.8207769414918158
CUE1_YEAST_Tsuboyama_2023_2MYX,fold_random_5,0.9400325094779126
CUE1_YEAST_Tsuboyama_2023_2MYX,fold_modulo_5,0.7656327037963041
CUE1_YEAST_Tsuboyama_2023_2MYX,fold_contiguous_5,0.7200146427670475
RNC_ECOLI_Weeks_2023,fold_random_5,0.7175171100765
RNC_ECOLI_Weeks_2023,fold_modulo_5,0.6727193152285855
RNC_ECOLI_Weeks_2023,fold_contiguous_5,0.6916437722489455
VILI_CHICK_Tsuboyama_2023_1YU5,fold_random_5,0.9267200915183752
VILI_CHICK_Tsuboyama_2023_1YU5,fold_modulo_5,0.8145054113929986
VILI_CHICK_Tsuboyama_2023_1YU5,fold_contiguous_5,0.7967211284438788
CSN4_MOUSE_Tsuboyama_2023_1UFM,fold_random_5,0.9274579811734681
CSN4_MOUSE_Tsuboyama_2023_1UFM,fold_modulo_5,0.833476759604888
CSN4_MOUSE_Tsuboyama_2023_1UFM,fold_contiguous_5,0.797395586917842
GLPA_HUMAN_Elazar_2016,fold_random_5,0.7645847783335646
GLPA_HUMAN_Elazar_2016,fold_modulo_5,0.45949946551991455
GLPA_HUMAN_Elazar_2016,fold_contiguous_5,0.3998367999738881
CP2C9_HUMAN_Amorosi_2021_activity,fold_random_5,0.8936773680328332
CP2C9_HUMAN_Amorosi_2021_activity,fold_modulo_5,0.8127293599066363
CP2C9_HUMAN_Amorosi_2021_activity,fold_contiguous_5,0.7543467143782832
NUSA_ECOLI_Tsuboyama_2023_1WCL,fold_random_5,0.944075175264357
NUSA_ECOLI_Tsuboyama_2023_1WCL,fold_modulo_5,0.8796031518460445
NUSA_ECOLI_Tsuboyama_2023_1WCL,fold_contiguous_5,0.8634059588743342
RBP1_HUMAN_Tsuboyama_2023_2KWH,fold_random_5,0.903808853650137
RBP1_HUMAN_Tsuboyama_2023_2KWH,fold_modulo_5,0.8738174597343589
RBP1_HUMAN_Tsuboyama_2023_2KWH,fold_contiguous_5,0.8627418686608441
AMIE_PSEAE_Wrenbeck_2017,fold_random_5,0.8335244366695231
AMIE_PSEAE_Wrenbeck_2017,fold_modulo_5,0.7147665951902052
AMIE_PSEAE_Wrenbeck_2017,fold_contiguous_5,0.6975717468045363
ESTA_BACSU_Nutschel_2020,fold_random_5,0.7609273550679202
ESTA_BACSU_Nutschel_2020,fold_modulo_5,0.6005976778909915
ESTA_BACSU_Nutschel_2020,fold_contiguous_5,0.5977589383901527
MYO3_YEAST_Tsuboyama_2023_2BTT,fold_random_5,0.9203078265699208
MYO3_YEAST_Tsuboyama_2023_2BTT,fold_modulo_5,0.8143975836694334
MYO3_YEAST_Tsuboyama_2023_2BTT,fold_contiguous_5,0.7971302174733118
RPC1_LAMBD_Li_2019_low-expression,fold_random_5,0.7135245310245311
RPC1_LAMBD_Li_2019_low-expression,fold_modulo_5,0.5822763347763347
RPC1_LAMBD_Li_2019_low-expression,fold_contiguous_5,0.595068265068265
RFAH_ECOLI_Tsuboyama_2023_2LCL,fold_random_5,0.8590600469368521
RFAH_ECOLI_Tsuboyama_2023_2LCL,fold_modulo_5,0.712083601618654
RFAH_ECOLI_Tsuboyama_2023_2LCL,fold_contiguous_5,0.7024312519140471
BBC1_YEAST_Tsuboyama_2023_1TG0,fold_random_5,0.9300567088160637
BBC1_YEAST_Tsuboyama_2023_1TG0,fold_modulo_5,0.8229771956501494
BBC1_YEAST_Tsuboyama_2023_1TG0,fold_contiguous_5,0.8124594246440314
LYAM1_HUMAN_Elazar_2016,fold_random_5,0.6951872503791355
LYAM1_HUMAN_Elazar_2016,fold_modulo_5,0.5849966023975143
LYAM1_HUMAN_Elazar_2016,fold_contiguous_5,0.6244513261024054
POLG_CXB3N_Mattenberger_2021,fold_random_5,0.7297073651220743
POLG_CXB3N_Mattenberger_2021,fold_modulo_5,0.5639242961546177
POLG_CXB3N_Mattenberger_2021,fold_contiguous_5,0.49321250258515875
P53_HUMAN_Giacomelli_2018_Null_Nutlin,fold_random_5,0.7402142984253912
P53_HUMAN_Giacomelli_2018_Null_Nutlin,fold_modulo_5,0.6934667656944509
P53_HUMAN_Giacomelli_2018_Null_Nutlin,fold_contiguous_5,0.6504186476656525
A0A140D2T1_ZIKV_Sourisseau_2019,fold_random_5,0.5852549952041853
A0A140D2T1_ZIKV_Sourisseau_2019,fold_modulo_5,0.41849529024135584
A0A140D2T1_ZIKV_Sourisseau_2019,fold_contiguous_5,0.38366752497098605
CCR5_HUMAN_Gill_2023,fold_random_5,0.531539400787895
CCR5_HUMAN_Gill_2023,fold_modulo_5,0.4666262044073169
CCR5_HUMAN_Gill_2023,fold_contiguous_5,0.3653157439677943
REV_HV1H2_Fernandes_2016,fold_random_5,0.5786576392380194
REV_HV1H2_Fernandes_2016,fold_modulo_5,0.4054914239948092
REV_HV1H2_Fernandes_2016,fold_contiguous_5,0.33080777847293086
BLAT_ECOLX_Stiffler_2015,fold_random_5,0.9089455087233028
BLAT_ECOLX_Stiffler_2015,fold_modulo_5,0.8264189607102417
BLAT_ECOLX_Stiffler_2015,fold_contiguous_5,0.803821337583211
P53_HUMAN_Giacomelli_2018_WT_Nutlin,fold_random_5,0.8851946323397153
P53_HUMAN_Giacomelli_2018_WT_Nutlin,fold_modulo_5,0.8592428298716849
P53_HUMAN_Giacomelli_2018_WT_Nutlin,fold_contiguous_5,0.7439108697984008
TPOR_HUMAN_Bridgford_2020,fold_random_5,0.6458802795203793
TPOR_HUMAN_Bridgford_2020,fold_modulo_5,0.5162015661121241
