split,ours,kermut,ours_all217
Random,0.7616896462941778,0.7597998277683895,0.7606551577192997
Modulo,0.6211188325624807,0.6503333957351318,0.6177973382937397
Contiguous,0.5873769421504128,0.6144535253308677,0.5838858019526173
Average,0.6567284736690238,0.674862249611463,0.6541127659885522
